ID_PROVINCIA;PROVINCIAS;2005_PRIVADO;2006_PRIVADO;2007_PRIVADO;2008_PRIVADO;2009_PRIVADO;2010_PRIVADO;2011_PRIVADO;2012_PRIVADO;2013_PRIVADO;2014_PRIVADO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
24;LEÓN;811;792;786;762;774;707;803;803;741;749;495902;498223;497387;500200;500169;499284;497799;494451;489752;484694;1,64;1,59;1,58;1,52;1,55;1,42;1,61;1,62;1,51;1,55;-2,80%;-0,59%;-3,60%;1,58%;-8,49%;13,92%;0,68%;-6,84%;2,13%
25;LLEIDA;854;854;854;854;854;854;854;831;831;856;399439;407496;414015;426872;436402;439768;442308;443032;440915;438001;2,14;2,10;2,06;2,00;1,96;1,94;1,93;1,88;1,88;1,95;-1,98%;-1,57%;-3,01%;-2,18%;-0,77%;-0,57%;-2,85%;0,48%;3,69%
26;LA RIOJA;124;124;124;124;124;124;124;126;126;126;301084;306377;308968;317501;321702;322415;322955;323609;322027;319002;0,41;0,40;0,40;0,39;0,39;0,38;0,38;0,39;0,39;0,39;-1,73%;-0,84%;-2,69%;-1,31%;-0,22%;-0,17%;1,41%;0,49%;0,95%
27;LUGO;111;113;113;113;109;109;109;109;109;131;357625;356595;355176;355549;355195;353504;351530;348902;346005;342748;0,31;0,32;0,32;0,32;0,31;0,31;0,31;0,31;0,32;0,38;2,10%;0,40%;-0,10%;-3,44%;0,48%;0,56%;0,75%;0,84%;21,33%
28;MADRID;7429;7448;7858;7887;7356;7451;7443;7344;7195;7126;5964143;6008183;6081689;6271638;6386932;6458684;6489680;6498560;6495551;6454440;1,25;1,24;1,29;1,26;1,15;1,15;1,15;1,13;1,11;1,10;-0,48%;4,23%;-2,67%;-8,42%;0,17%;-0,58%;-1,46%;-1,98%;-0,33%
29;MALAGA;2089;2171;2200;2186;2326;2271;2027;2035;2041;2066;1453409;1491287;1517523;1563261;1593068;1609557;1625827;1641098;1652999;1621968;1,44;1,46;1,45;1,40;1,46;1,41;1,25;1,24;1,23;1,27;1,29%;-0,42%;-3,54%;4,41%;-3,36%;-11,64%;-0,54%;-0,43%;3,16%
30;MURCIA;1266;1216;1369;1369;1392;1407;1411;1445;1538;1568;1335792;1370306;1392117;1426109;1446520;1461979;1470069;1474449;1472049;1466818;0,95;0,89;0,98;0,96;0,96;0,96;0,96;0,98;1,04;1,07;-6,37%;10,82%;-2,38%;0,25%;0,01%;-0,27%;2,11%;6,61%;2,31%
31;NAVARRA;972;1039;1039;1031;1025;1025;1025;987;987;851;593472;601874;605876;620377;630578;636924;642051;644566;644477;640790;1,64;1,73;1,71;1,66;1,63;1,61;1,60;1,53;1,53;1,33;5,40%;-0,66%;-3,09%;-2,19%;-1,00%;-0,80%;-4,08%;0,01%;-13,28%
32;OURENSE;132;132;121;128;128;98;98;98;98;98;339555;338671;336926;336099;335642;335219;333257;330257;326724;322293;0,39;0,39;0,36;0,38;0,38;0,29;0,29;0,30;0,30;0,30;0,26%;-7,86%;6,05%;0,14%;-23,34%;0,59%;0,91%;1,08%;1,37%
33;ASTURIAS;1092;1068;1041;1015;1015;1038;1034;1034;1034;998;1076635;1076896;1074862;1080138;1085289;1084341;1081487;1077360;1068165;1061756;1,01;0,99;0,97;0,94;0,94;0,96;0,96;0,96;0,97;0,94;-2,22%;-2,34%;-2,97%;-0,47%;2,36%;-0,12%;0,38%;0,86%;-2,90%
