ID_PROVINCIA;PROVINCIAS;2005_PUBLICO;2006_PUBLICO;2007_PUBLICO;2008_PUBLICO;2009_PUBLICO;2010_PUBLICO;2011_PUBLICO;2012_PUBLICO;2013_PUBLICO;2014_PUBLICO;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
36;PONTEVEDRA;1943;1941;1964;1964;1962;1971;1977;1965;1965;1962;-0,10%;1,18%;0,00%;-0,10%;0,46%;0,30%;-0,61%;0,00%;-0,15%
37;SALAMANCA;1124;1124;1041;1021;1011;1010;977;977;957;933;0,00%;-7,38%;-1,92%;-0,98%;-0,10%;-3,27%;0,00%;-2,05%;-2,51%
38;SANTA CRUZ DE TENERIFE;2633;2637;2467;2433;2433;2419;2419;2456;2455;2466;0,15%;-6,45%;-1,38%;0,00%;-0,58%;0,00%;1,53%;-0,04%;0,45%
39;CANTABRIA;1717;1728;1461;1458;1432;1457;1362;1332;1332;1336;0,64%;-15,45%;-0,21%;-1,78%;1,75%;-6,52%;-2,20%;0,00%;0,30%
40;SEGOVIA;431;431;431;431;431;431;431;431;431;431;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
41;SEVILLA;3804;3604;3675;3654;3670;3533;3494;3494;3298;3298;-5,26%;1,97%;-0,57%;0,44%;-3,73%;-1,10%;0,00%;-5,61%;0,00%
42;SORIA;375;355;355;355;355;355;355;355;336;336;-5,33%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;-5,35%;0,00%
43;TARRAGONA;1757;1763;1763;1763;1823;1788;1818;1818;1846;1824;0,34%;0,00%;0,00%;3,40%;-1,92%;1,68%;0,00%;1,54%;-1,19%
44;TERUEL;604;541;541;556;556;556;556;536;536;536;-10,43%;0,00%;2,77%;0,00%;0,00%;0,00%;-3,60%;0,00%;0,00%
45;TOLEDO;1402;1466;1470;1474;1526;1531;1533;1538;1524;1517;4,56%;0,27%;0,27%;3,53%;0,33%;0,13%;0,33%;-0,91%;-0,46%
46;VALENCIA;5166;5201;5212;5200;5593;5708;5599;5396;5335;5323;0,68%;0,21%;-0,23%;7,56%;2,06%;-1,91%;-3,63%;-1,13%;-0,22%
47;VALLADOLID;1494;1502;1486;1426;1536;1576;1536;1536;1536;1536;0,54%;-1,07%;-4,04%;7,71%;2,60%;-2,54%;0,00%;0,00%;0,00%
48;VIZCAYA;3275;3216;3203;3193;3190;3165;3081;3075;3068;3068;-1,80%;-0,40%;-0,31%;-0,09%;-0,78%;-2,65%;-0,19%;-0,23%;0,00%
49;ZAMORA;626;626;600;600;600;600;600;600;600;600;0,00%;-4,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
50;ZARAGOZA;3176;3212;3190;3158;3134;3141;3148;3138;3139;3161;1,13%;-0,68%;-1,00%;-0,76%;0,22%;0,22%;-0,32%;0,03%;0,70%
51;CEUTA;50;50;50;50;50;302;302;252;252;252;0,00%;0,00%;0,00%;0,00%;504,00%;0,00%;-16,56%;0,00%;0,00%
52;MELILLA;222;222;222;172;172;172;170;170;170;170;0,00%;0,00%;-22,52%;0,00%;0,00%;-1,16%;0,00%;0,00%;0,00%
