ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
35;LAS PALMAS;4151;4240;3859;3854;3882;3887;3893;3953;3857;3876;2,14%;-8,99%;-0,13%;0,73%;0,13%;0,15%;1,54%;-2,43%;0,49%
36;PONTEVEDRA;3270;3343;3372;3400;3404;3314;3282;3270;3270;3266;2,23%;0,87%;0,83%;0,12%;-2,64%;-0,97%;-0,37%;0,00%;-0,12%
37;SALAMANCA;1226;1226;1143;1139;1129;1128;1095;1095;1075;1051;0,00%;-6,77%;-0,35%;-0,88%;-0,09%;-2,93%;0,00%;-1,83%;-2,23%
38;SANTA CRUZ DE TENERIFE;4236;4195;3894;3805;3781;3762;3769;3741;3740;3744;-0,97%;-7,18%;-2,29%;-0,63%;-0,50%;0,19%;-0,74%;-0,03%;0,11%
39;CANTABRIA;2422;2449;2170;2167;2140;2133;2042;1999;2016;2018;1,11%;-11,39%;-0,14%;-1,25%;-0,33%;-4,27%;-2,11%;0,85%;0,10%
40;SEGOVIA;500;481;482;482;482;482;481;481;481;481;-3,80%;0,21%;0,00%;0,00%;0,00%;-0,21%;0,00%;0,00%;0,00%
41;SEVILLA;4809;4924;5086;4992;5113;4940;4871;4871;4671;4688;2,39%;3,29%;-1,85%;2,42%;-3,38%;-1,40%;0,00%;-4,11%;0,36%
42;SORIA;383;363;355;355;355;355;355;355;336;336;-5,22%;-2,20%;0,00%;0,00%;0,00%;0,00%;0,00%;-5,35%;0,00%
43;TARRAGONA;3749;3660;3795;3733;3793;3758;3782;3794;3822;3825;-2,37%;3,69%;-1,63%;1,61%;-0,92%;0,64%;0,32%;0,74%;0,08%
44;TERUEL;604;541;541;556;556;556;556;536;536;536;-10,43%;0,00%;2,77%;0,00%;0,00%;0,00%;-3,60%;0,00%;0,00%
45;TOLEDO;1576;1580;1582;1630;1682;1687;1689;1693;1675;1666;0,25%;0,13%;3,03%;3,19%;0,30%;0,12%;0,24%;-1,06%;-0,54%
46;VALENCIA;6629;6677;6675;6583;7019;7117;7008;6773;6692;6680;0,72%;-0,03%;-1,38%;6,62%;1,40%;-1,53%;-3,35%;-1,20%;-0,18%
47;VALLADOLID;1804;1822;1781;1809;1921;1965;1985;2043;2043;2043;1,00%;-2,25%;1,57%;6,19%;2,29%;1,02%;2,92%;0,00%;0,00%
48;VIZCAYA;4026;3950;3929;3918;3909;3987;3826;3986;3838;3843;-1,89%;-0,53%;-0,28%;-0,23%;2,00%;-4,04%;4,18%;-3,71%;0,13%
49;ZAMORA;656;646;673;672;674;666;644;644;644;644;-1,52%;4,18%;-0,15%;0,30%;-1,19%;-3,30%;0,00%;0,00%;0,00%
50;ZARAGOZA;4101;4139;4171;4148;4130;4137;4119;4099;4061;4085;0,93%;0,77%;-0,55%;-0,43%;0,17%;-0,44%;-0,49%;-0,93%;0,59%
51;CEUTA;213;213;213;213;213;465;302;252;252;252;0,00%;0,00%;0,00%;0,00%;118,31%;-35,05%;-16,56%;0,00%;0,00%
52;MELILLA;222;222;222;172;172;172;170;170;170;170;0,00%;0,00%;-22,52%;0,00%;0,00%;-1,16%;0,00%;0,00%;0,00%
