ID_PROVINCIA;PROVINCIA;2009_URG_NO;2009_URG_SI;2010_URG_NO;2010_URG_SI;2011_URG_NO;2011_URG_SI;2012_URG_NO;2012_URG_SI;2013_URG_NO;2013_URG_SI;2014_URG_NO;2014_URG_SI;VAR_NO_09_10;VAR_NO_10_11;VAR_NO_11_12;VAR_NO_12_13;VAR_NO_13_14;VAR_SI_09_10;VAR_SI_10_11;VAR_SI_11_12;VAR_SI_12_13;VAR_SI_13_14
35;LAS PALMAS;73;40;72;40;73;40;82;38;80;40;80;40;-1,37%;1,39%;12,33%;-2,44%;0,00%;0,00%;0,00%;-5,00%;5,26%;0,00%
36;PONTEVEDRA;87;31;93;23;90;24;90;24;102;28;88;24;6,90%;-3,23%;0,00%;13,33%;-13,73%;-25,81%;4,35%;0,00%;16,67%;-14,29%
37;SALAMANCA;409;27;409;26;415;27;415;27;415;27;418;27;0,00%;1,47%;0,00%;0,00%;0,72%;-3,70%;3,85%;0,00%;0,00%;0,00%
38;SANTA CRUZ DE TENERIFE;105;33;105;32;108;32;107;37;107;36;105;36;0,00%;2,86%;-0,93%;0,00%;-1,87%;-3,03%;0,00%;15,63%;-2,70%;0,00%
39;CANTABRIA;132;26;132;27;122;28;122;28;123;29;128;29;0,00%;-7,58%;0,00%;0,82%;4,07%;3,85%;3,70%;0,00%;3,57%;0,00%
40;SEGOVIA;294;20;293;20;290;20;290;20;290;20;295;20;-0,34%;-1,02%;0,00%;0,00%;1,72%;0,00%;0,00%;0,00%;0,00%;0,00%
41;SEVILLA;116;67;115;67;116;68;111;73;117;71;118;66;-0,86%;0,87%;-4,31%;5,41%;0,85%;0,00%;1,49%;7,35%;-2,74%;-7,04%
42;SORIA;345;15;345;15;339;15;339;15;339;15;344;15;0,00%;-1,74%;0,00%;0,00%;1,47%;0,00%;0,00%;0,00%;0,00%;0,00%
43;TARRAGONA;195;33;195;33;195;33;213;15;213;15;213;15;0,00%;0,00%;9,23%;0,00%;0,00%;0,00%;0,00%;-54,55%;0,00%;0,00%
44;TERUEL;263;31;259;30;259;30;259;30;259;30;259;30;-1,52%;0,00%;0,00%;0,00%;0,00%;-3,23%;0,00%;0,00%;0,00%;0,00%
45;TOLEDO;200;45;198;44;198;45;197;45;196;46;194;46;-1,00%;0,00%;-0,51%;-0,51%;-1,02%;-2,22%;2,27%;0,00%;2,22%;0,00%
46;VALENCIA;323;83;323;83;330;83;330;83;338;86;336;85;0,00%;2,17%;0,00%;2,42%;-0,59%;0,00%;0,00%;0,00%;3,61%;-1,16%
47;VALLADOLID;232;36;231;36;231;35;231;35;231;35;229;35;-0,43%;0,00%;0,00%;0,00%;-0,87%;0,00%;-2,78%;0,00%;0,00%;0,00%
48;VIZCAYA;148;15;148;16;137;27;137;27;140;27;141;26;0,00%;-7,43%;0,00%;2,19%;0,71%;6,67%;68,75%;0,00%;0,00%;-3,70%
49;ZAMORA;414;19;413;19;413;19;413;19;413;19;417;19;-0,24%;0,00%;0,00%;0,00%;0,97%;0,00%;0,00%;0,00%;0,00%;0,00%
50;ZARAGOZA;319;44;318;43;317;43;318;42;319;42;317;42;-0,31%;-0,31%;0,32%;0,31%;-0,63%;-2,27%;0,00%;-2,33%;0,00%;0,00%
51;CEUTA;0;3;0;3;0;3;0;3;0;3;0;3;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
52;MELILLA;1;3;1;3;1;3;1;3;1;3;1;3;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Total general;;11291;1883;11239;1881;11246;1916;11222;1943;11319;1968;11239;1948;-0,46%;0,06%;-0,21%;0,86%;-0,71%;-0,11%;1,86%;1,41%;1,29%;-1,02%
